Customer_ID,City,Signup_Date,Customer_Type
CUST000001,Mumbai,22-04-2025,New
CUST000002,Mumbai,19-04-2025,New
CUST000003,Ahmedabad,31-03-2025,Returning
CUST000004,Delhi,21-01-2025,Returning
CUST000005,Hyderabad,26-01-2025,Returning
CUST000006,Hyderabad,10-06-2025,New
CUST000007,Bengaluru,16-01-2025,New
CUST000008,Kolkata,09-02-2025,Returning
CUST000009,Delhi,14-01-2025,New
CUST000010,Chennai,28-03-2025,New
CUST000011,Chennai,27-01-2025,New
CUST000012,Hyderabad,28-02-2025,New
CUST000013,Hyderabad,16-01-2025,New
CUST000014,Kolkata,18-04-2025,Returning
CUST000015,Pune,03-06-2025,New
CUST000016,Delhi,30-04-2025,Returning
CUST000017,Kolkata,23-06-2025,New
CUST000018,Mumbai,10-06-2025,VIP
CUST000019,Hyderabad,21-06-2025,New
CUST000020,Hyderabad,19-05-2025,New
CUST000021,Ahmedabad,02-04-2025,New
CUST000022,Kochi,06-06-2025,New
CUST000023,Jaipur,11-05-2025,New
CUST000024,Chennai,16-04-2025,New
CUST000025,Pune,22-06-2025,Returning
CUST000026,Pune,15-06-2025,VIP
CUST000027,Kolkata,26-05-2025,New
CUST000028,Ahmedabad,15-04-2025,VIP
CUST000029,Jaipur,26-06-2025,New
CUST000030,Bengaluru,28-01-2025,New
CUST000031,Pune,08-03-2025,New
CUST000032,Mumbai,09-02-2025,New
CUST000033,Ahmedabad,02-06-2025,Returning
CUST000034,Kochi,14-03-2025,New
CUST000035,Jaipur,25-01-2025,Returning
CUST000036,Pune,20-06-2025,Returning
CUST000037,Kochi,08-04-2025,New
CUST000038,Hyderabad,28-06-2025,New
CUST000039,Hyderabad,05-06-2025,Returning
CUST000040,Mumbai,20-01-2025,New
CUST000041,Pune,27-03-2025,New
CUST-434757,Ahmedabad,10-03-2025,New
CUST000043,Ahmedabad,20-03-2025,New
CUST000044,Hyderabad,10-04-2025,Returning
CUST000045,Kolkata,21-02-2025,New
CUST000046,Delhi,06-03-2025,New
CUST000047,Bengaluru,08-06-2025,Returning
CUST000048,Mumbai,15-05-2025,New
CUST000049,Pune,09-03-2025,Returning
CUST000050,Bengaluru,18-03-2025,New
CUST000051,Kochi,28-02-2025,New
CUST000052,Bengaluru,11-06-2025,New
CUST000053,Hyderabad,09-04-2025,New
CUST000054,Chennai,21-05-2025,Returning
CUST000055,Pune,26-03-2025,New
CUST000056,Unknown,22-05-2025,Returning
CUST000057,Kochi,18-01-2025,New
CUST000058,Bengaluru,17-06-2025,Returning
CUST000059,Bengaluru,10-03-2025,New
CUST000060,Bengaluru,27-02-2025,New
CUST000061,Bengaluru,06-02-2025,Returning
CUST000062,Mumbai,16-04-2025,Returning
CUST000063,Jaipur,09-04-2025,Returning
CUST000064,Kolkata,13-01-2025,New
CUST000065,Chennai,14-04-2025,Returning
CUST000066,Jaipur,25-06-2025,New
CUST000067,Delhi,11-06-2025,Returning
CUST000068,Hyderabad,24-01-2025,Returning
CUST000069,Hyderabad,09-01-2025,Returning
CUST000070,Delhi,28-01-2025,New
CUST000071,Bengaluru,02-03-2025,New
CUST000072,Bengaluru,14-04-2025,Returning
CUST000073,Chennai,15-04-2025,New
CUST000074,Delhi,23-06-2025,New
CUST000075,Jaipur,01-04-2025,New
CUST000076,Hyderabad,17-06-2025,New
CUST000077,Jaipur,08-01-2025,New
CUST000078,Mumbai,28-03-2025,Returning
CUST000079,Chennai,29-05-2025,New
CUST000080,Chennai,22-05-2025,New
CUST000081,Chennai,15-06-2025,Returning
CUST000082,Mumbai,26-03-2025,New
CUST000083,Mumbai,18-05-2025,Returning
CUST000084,Ahmedabad,28-02-2025,Returning
CUST000085,Chennai,28-06-2025,New
CUST000086,Bengaluru,09-05-2025,New
CUST000087,Jaipur,09-03-2025,New
CUST000088,Pune,18-02-2025,New
CUST000089,Hyderabad,06-04-2025,Returning
CUST000090,Delhi,07-05-2025,New
CUST000091,Kolkata,18-01-2025,New
CUST000092,Bengaluru,04-06-2025,Returning
CUST000093,Chennai,02-02-2025,New
CUST000094,Bengaluru,27-04-2025,Returning
CUST000095,Hyderabad,23-05-2025,New
CUST000096,Delhi,01-04-2025,Returning
CUST000097,Hyderabad,03-01-2025,Returning
CUST000098,Mumbai,29-04-2025,New
CUST000099,Mumbai,07-02-2025,New
CUST000100,Delhi,27-06-2025,New
CUST000101,Ahmedabad,03-06-2025,New
CUST000102,Hyderabad,08-06-2025,New
CUST000103,Bengaluru,16-04-2025,Returning
CUST000104,Kolkata,03-03-2025,New
CUST000105,Mumbai,25-01-2025,New
CUST000106,Bengaluru,10-04-2025,Returning
CUST000107,Bengaluru,30-04-2025,New
CUST000108,Bengaluru,20-05-2025,Returning
CUST000109,Jaipur,16-01-2025,Returning
CUST000110,Mumbai,07-03-2025,New
CUST000111,Delhi,23-06-2025,Returning
CUST000112,Delhi,30-06-2025,VIP
CUST000113,Pune,11-06-2025,Returning
CUST000114,Mumbai,28-01-2025,New
CUST000115,Mumbai,28-04-2025,Returning
CUST000116,Pune,18-03-2025,Returning
CUST000117,Chennai,18-02-2025,New
CUST000118,Hyderabad,01-05-2025,Returning
CUST000119,Jaipur,07-03-2025,Returning
CUST000120,Jaipur,20-03-2025,New
CUST000121,Mumbai,16-02-2025,New
CUST000122,Pune,30-04-2025,Returning
CUST000123,Ahmedabad,10-05-2025,Returning
CUST000124,Mumbai,05-06-2025,New
CUST000125,Bengaluru,12-06-2025,Returning
CUST000126,Bengaluru,03-02-2025,New
CUST000127,Kochi,30-06-2025,New
CUST000128,Jaipur,12-06-2025,Returning
CUST000129,Mumbai,07-03-2025,Returning
CUST000130,Jaipur,15-06-2025,New
CUST000131,Mumbai,05-04-2025,Returning
CUST000132,Mumbai,12-01-2025,New
CUST000133,Bengaluru,12-02-2025,Returning
