Return_ID,Order_ID,SKU_ID,Return_Date,Return_Reason,Refund_Amount,Return_Status
RET200000,ORD1079072,SKU00780,11-05-2025,Quality Issue,187.78,Approved
RET200001,ORD1032213,SKU00428,29-06-2025,Quality Issue,72.06,Approved
RET200002,ORD1004967,SKU00969,02-07-2025,Changed Mind,279.44,Approved
RET200003,ORD1042110,SKU00300,19-04-2025,Quality Issue,195.15,Approved
RET200004,ORD1005077,SKU00528,17-01-2025,Quality Issue,427.84,Approved
RET200005,ORD1009231,SKU00411,05-02-2025,Wrong Item,212.64,Approved
RET200006,ORD1016418,SKU00187,06-03-2025,Late Delivery,361.83,Approved
RET200007,ORD1030265,SKU00673,17-04-2025,Wrong Item,1138.47,Approved
RET200008,ORD1076321,SKU01144,08-07-2025,Changed Mind,610.57,Approved
RET200009,ORD1043916,SKU00334,15-05-2025,Late Delivery,260.76,Approved
RET200010,ORD1030985,SKU00646,08-07-2025,Changed Mind,78.96,Approved
RET200011,ORD1008104,SKU00521,21-06-2025,Damaged,186.61,Approved
RET200012,ORD1079111,SKU00954,14-05-2025,Missing Item,245.58,Approved
RET200013,ORD1002344,SKU00935,12-04-2025,Quality Issue,294.69,Approved
RET200014,ORD1015396,SKU00249,07-04-2025,Missing Item,874.68,Approved
RET200015,ORD1074981,SKU00943,28-06-2025,Damaged,301.31,Approved
RET200016,ORD1062086,SKU00797,25-04-2025,Damaged,102.97,Approved
RET200017,ORD1069666,SKU00962,17-04-2025,Wrong Item,57.9,Approved
RET200018,ORD1024601,SKU00520,25-05-2025,Unknown,251.95,Approved
RET200019,ORD1021689,SKU00231,16-05-2025,Changed Mind,328.14,Approved
RET200020,ORD1000963,SKU00630,18-05-2025,Changed Mind,235.8,Approved
RET200021,ORD1016226,SKU00538,23-02-2025,Quality Issue,214.65,Approved
RET200022,ORD1021268,SKU00639,07-07-2025,Wrong Item,637.91,Approved
RET200023,ORD1079253,SKU00974,19-01-2025,Missing Item,648.69,Approved
RET200024,ORD1069812,SKU00165,28-05-2025,Damaged,322.72,Approved
RET200025,ORD1051033,SKU00843,04-07-2025,Missing Item,294.19,Approved
RET200026,ORD1039178,SKU00307,15-04-2025,Changed Mind,242.64,Approved
RET200027,ORD1045338,SKU00148,22-02-2025,Quality Issue,285.67,Approved
RET200028,ORD1023671,SKU00357,08-04-2025,Late Delivery,160.5,Approved
RET200029,ORD1023663,SKU00414,08-04-2025,Damaged,247.56,Approved
RET200030,ORD1004009,SKU00733,12-05-2025,Changed Mind,95.63,Approved
RET200031,ORD1031321,SKU01200,13-01-2025,Quality Issue,442.35,Approved
RET200032,ORD1055256,SKU00192,01-05-2025,Late Delivery,130.31,Approved
RET200033,ORD1067567,SKU00386,30-04-2025,Unknown,595.04,Approved
RET200034,ORD1078397,SKU00420,03-02-2025,Late Delivery,360.31,Approved
RET200035,ORD1055838,SKU00078,29-04-2025,Late Delivery,96.14,Approved
RET200036,ORD1014598,SKU01081,15-02-2025,Damaged,136.6,Approved
RET200037,ORD1048282,SKU00045,14-03-2025,Changed Mind,153.96,Approved
RET200038,ORD1044731,SKU00184,31-01-2025,Quality Issue,687.64,Approved
RET200039,ORD1007674,SKU00631,30-06-2025,Late Delivery,298.07,Rejected
RET200040,ORD1031993,SKU00112,31-03-2025,Damaged,177.4,Rejected
RET200041,ORD1079263,SKU01101,20-02-2025,Changed Mind,704.38,Approved
RET200042,ORD1006619,SKU01172,19-02-2025,Missing Item,128.66,Approved
RET200043,ORD1059684,SKU00260,22-04-2025,Quality Issue,531.51,Approved
RET200044,ORD1037904,SKU01134,22-01-2025,Wrong Item,212.63,Approved
RET200045,ORD1055645,SKU01136,17-05-2025,Late Delivery,1048.41,Approved
RET200046,ORD1052569,SKU00707,14-06-2025,Late Delivery,123.08,Approved
RET200047,ORD1050754,SKU00515,17-01-2025,Wrong Item,199.42,Approved
RET200048,ORD1076543,SKU00344,24-01-2025,Quality Issue,669.57,Approved
RET200049,ORD1031580,SKU00330,07-02-2025,Changed Mind,240.48,Approved
RET200050,ORD1032952,SKU00918,20-05-2025,Missing Item,233.49,Approved
RET200051,ORD1079443,SKU00755,22-01-2025,Late Delivery,233.42,Approved
RET200052,ORD1009917,SKU00079,18-04-2025,Damaged,85.68,Approved
RET200053,ORD1008612,SKU00136,08-06-2025,Quality Issue,74.01,Approved
RET200054,ORD1002637,SKU00899,22-02-2025,Quality Issue,335.79,Approved
RET200055,ORD1057833,SKU00634,29-04-2025,Quality Issue,202.36,Approved
RET200056,ORD1022058,SKU00460,16-05-2025,Damaged,228.3,Approved
RET200057,ORD1032151,SKU00568,16-06-2025,Damaged,454.71,Approved
RET200058,ORD1002113,SKU00814,22-06-2025,Quality Issue,2574.35,Approved
RET200059,ORD1022932,SKU00805,23-05-2025,Missing Item,137.13,Approved
RET200060,ORD1013851,SKU00844,18-02-2025,Damaged,680.25,Approved
RET200061,ORD1015494,SKU00937,13-04-2025,Missing Item,237.14,Approved
RET200062,ORD1037319,SKU00418,25-06-2025,Late Delivery,537.49,Approved
RET200063,ORD1052219,SKU00626,05-07-2025,Damaged,398.1,Approved
RET200064,ORD1009279,SKU00748,04-05-2025,Late Delivery,219.1,Rejected
RET200065,ORD1017233,SKU00764,04-01-2025,Damaged,1419.39,Approved
RET200066,ORD1074734,SKU00372,06-02-2025,Damaged,321.72,Rejected
RET200067,ORD1068596,SKU00690,24-01-2025,Wrong Item,187.65,Rejected
RET200068,ORD1018929,SKU00356,27-02-2025,Wrong Item,458.31,Approved
RET200069,ORD1020340,SKU00757,15-05-2025,Damaged,1169.26,Approved
RET200070,ORD1056127,SKU01082,01-06-2025,Quality Issue,778.02,Rejected
RET200071,ORD1072400,SKU00554,17-04-2025,Changed Mind,527.06,Approved
RET200072,ORD1047930,SKU00577,24-02-2025,Late Delivery,1016.61,Approved
RET200073,ORD1041671,SKU00586,14-01-2025,Changed Mind,201.19,Approved
RET200074,ORD1064172,SKU00304,05-03-2025,Late Delivery,308.68,Approved
RET200075,ORD1040324,SKU00851,22-03-2025,Changed Mind,785.4,Approved
RET200076,ORD1070423,SKU00919,14-04-2025,Late Delivery,198.52,Approved
RET200077,ORD1027187,SKU00237,16-04-2025,Missing Item,268.81,Approved
RET200078,ORD1009709,SKU00893,18-05-2025,Quality Issue,138.84,Approved
RET200079,ORD1069534,SKU00492,05-03-2025,Quality Issue,769.1,Approved
RET200080,ORD1028165,SKU01164,28-03-2025,Quality Issue,182.96,Rejected
RET200081,ORD1045820,SKU00153,07-01-2025,Changed Mind,555.41,Approved
RET200082,ORD1049671,SKU00561,04-05-2025,Quality Issue,1007.22,Approved
RET200083,ORD1059724,SKU00976,22-06-2025,Damaged,268.04,Approved
RET200084,ORD1011893,SKU00740,12-03-2025,Damaged,153.9,Approved
RET200085,ORD1068031,SKU00813,22-05-2025,Quality Issue,343.94,Rejected
RET200086,ORD1071944,SKU00564,02-04-2025,Late Delivery,57.86,Approved
RET200087,ORD1073872,SKU00715,16-05-2025,Late Delivery,126.2,Approved
RET200088,ORD1039813,SKU00328,07-05-2025,Quality Issue,490.56,Approved
RET200089,ORD1031119,SKU00948,16-04-2025,Late Delivery,840.23,Approved
RET200090,ORD1025321,SKU00647,01-07-2025,Quality Issue,449.55,Approved
RET200091,ORD1070013,SKU00514,20-03-2025,Damaged,464.76,Approved
RET200092,ORD1034765,SKU00263,10-03-2025,Quality Issue,342.98,Approved
RET200093,ORD1038103,SKU00043,14-04-2025,Wrong Item,63.81,Approved
RET200094,ORD1012388,SKU00319,12-01-2025,Wrong Item,205.54,Rejected
RET200095,ORD1052089,SKU00357,12-01-2025,Quality Issue,143.44,Approved
RET200096,ORD1071651,SKU00577,02-07-2025,Damaged,702.62,Approved
RET200097,ORD1024130,SKU00211,23-02-2025,Quality Issue,518.95,Approved
RET200098,ORD1006731,SKU01190,17-01-2025,Quality Issue,80.52,Approved
RET200099,ORD1010400,SKU00855,21-05-2025,Damaged,452.42,Approved
RET200100,ORD1014594,SKU00181,03-03-2025,Wrong Item,203.4,Approved
RET200101,ORD1059738,SKU00854,20-04-2025,Quality Issue,266.41,Approved
RET200102,ORD1014552,SKU00413,24-02-2025,Quality Issue,232.11,Approved
RET200103,ORD1041392,SKU00570,12-01-2025,Wrong Item,90.87,Approved
RET200104,ORD1062794,SKU00785,15-04-2025,Quality Issue,388.05,Rejected
RET200105,ORD1007075,SKU00650,15-05-2025,Wrong Item,312.45,Approved
RET200106,ORD1070255,SKU00069,05-06-2025,Damaged,628.93,Approved
RET200107,ORD1076849,SKU00841,26-05-2025,Changed Mind,335.32,Approved
RET200108,ORD1045757,SKU00145,20-05-2025,Changed Mind,395.23,Approved
RET200109,ORD1029571,SKU00843,29-01-2025,Quality Issue,220.19,Approved
RET200110,ORD1075425,SKU00839,12-06-2025,Damaged,102.71,Approved
RET200111,ORD1013497,SKU01008,18-06-2025,Changed Mind,504.69,Approved
RET200112,ORD1044244,SKU00752,29-03-2025,Quality Issue,106.24,Approved
RET200113,ORD1072893,SKU00429,29-03-2025,Late Delivery,28.45,Approved
RET200114,ORD1021589,SKU00119,17-04-2025,Damaged,233.32,Approved
RET200115,ORD1009938,SKU01095,06-06-2025,Changed Mind,251.36,Approved
RET200116,ORD1039840,SKU00018,17-04-2025,Wrong Item,90.79,Rejected
RET200117,ORD1069303,SKU00693,05-03-2025,Quality Issue,409.49,Approved
RET200118,ORD1005982,SKU00515,18-03-2025,Damaged,393.99,Approved
RET200119,ORD1032904,SKU00039,21-05-2025,Quality Issue,723.27,Approved
RET200120,ORD1075789,SKU01195,29-04-2025,Changed Mind,151.95,Approved
RET200121,ORD1057386,SKU00727,24-04-2025,Damaged,33.15,Rejected
RET200122,ORD1027190,SKU00960,13-03-2025,Late Delivery,199.46,Approved
RET200123,ORD1079859,SKU00542,13-02-2025,Late Delivery,687.23,Approved
RET200124,ORD1049437,SKU00303,25-01-2025,Wrong Item,235.17,Approved
RET200125,ORD1064251,SKU00595,02-05-2025,Wrong Item,1185.28,Approved
RET200126,ORD1066800,SKU00228,23-02-2025,Damaged,402.57,Approved
RET200127,ORD1028332,SKU00844,14-02-2025,Late Delivery,187.52,Approved
RET200128,ORD1069842,SKU00614,12-02-2025,Wrong Item,384.92,Approved
RET200129,ORD1012190,SKU00721,04-02-2025,Changed Mind,119.51,Approved
RET200130,ORD1063303,SKU00570,12-03-2025,Quality Issue,161.94,Approved
RET200131,ORD1049499,SKU00969,06-02-2025,Changed Mind,217.96,Approved
RET200132,ORD1018473,SKU00543,23-01-2025,Damaged,198.37,Approved
RET200133,ORD1025196,SKU00561,03-03-2025,Late Delivery,2699.2,Approved
RET200134,ORD1028166,SKU00303,02-05-2025,Changed Mind,448.8,Rejected
RET200135,ORD1037219,SKU00725,13-05-2025,Damaged,1235.18,Rejected
RET200136,ORD1040045,SKU00835,02-03-2025,Quality Issue,748.97,Approved
RET200137,ORD1025637,SKU00192,07-06-2025,Missing Item,254.99,Approved
