PO_ID,Vendor_ID,SKU_ID,Store_ID,PO_Date,Expected_Delivery_Date,Actual_Delivery_Date,Supplied_Quantity,Procurement_Cost
PO300000,VEND0062,SKU00123,DEL-01,18-03-2025,24-03-2025,31-03-2025,57,211.19
PO300001,VEND0037,SKU00870,AHM1 ,16-03-2025,21-03-2025,21-03-2025,52,155.29
PO300002,VEND0007,SKU00030,KOC-02,15-03-2025,20-03-2025,22-03-2025,65,78.13
PO300003,VEND0056,SKU01069,MUM-05,03-04-2025,10-04-2025,11-04-2025,53,59.7
PO300004,VEND0046,SKU01152,JAI-02,04-05-2025,12-05-2025,12-05-2025,69,51.96
PO300005,VEND0009,SKU00819,MUM-03,16-01-2025,23-01-2025,26-01-2025,43,34.53
PO300006,VEND0002,SKU00003,BEN-05,04-03-2025,08-03-2025,08-03-2025,57,75.81
PO300007,VEND0112,SKU00683,DEL-04,06-03-2025,11-03-2025,12-03-2025,62,132.66
PO300008,VEND0003,SKU00372,CHE-03,10-02-2025,19-02-2025,19-02-2025,71,46.86
PO300009,VEND0119,SKU00926,DEL-03,19-02-2025,23-02-2025,23-02-2025,50,66.84
PO300010,VEND0032,SKU00400,MUM-03,17-05-2025,19-05-2025,19-05-2025,63,131.91
PO300011,VEND0109,SKU00801,BEN-04,13-02-2025,18-02-2025,18-02-2025,53,102.14
PO300012,VEND0065,SKU00331,mum02,31-01-2025,06-02-2025,06-02-2025,59,35.11
PO300013,VEND0117,SKU00448,JAI-02,02-01-2025,11-01-2025,11-01-2025,51,117.7
PO300014,VEND0049,SKU00169,HYD-01,23-04-2025,28-04-2025,28-04-2025,59,98.3
PO300015,VEND0089,SKU00164,KOL-04,20-01-2025,29-01-2025,29-01-2025,58,77.4
PO300016,VEND0081,SKU01062,MUM-02,11-02-2025,18-02-2025,18-02-2025,56,47.08
PO300017,VEND0006,SKU01183,KOL-02,15-05-2025,23-05-2025,23-05-2025,59,64.77
PO300018,VEND0064,SKU00882,hyd1,11-06-2025,15-06-2025,15-06-2025,53,132.31
PO300019,VEND0014,SKU01162,KOC-04,14-03-2025,19-03-2025,19-03-2025,60,177.04
PO300020,VEND0066,SKU00749,AHM-04,11-02-2025,20-02-2025,20-02-2025,62,64.88
PO300021,VEND0001,SKU00475,HYD-01,16-03-2025,23-03-2025,23-03-2025,63,53.83
PO300022,VEND0009,SKU01135,DEL-02,08-02-2025,17-02-2025,17-02-2025,55,138.02
